Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n6409-il-100000-n5
Airfoil,n6409-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,63.7136
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-n6409-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.2406,0.10188,0.09719,-0.0477,0.9816,0.0527
-7.750,-0.2333,0.09956,0.09489,-0.0545,0.9733,0.0552
-7.500,-0.2275,0.09698,0.09234,-0.0616,0.9624,0.0558
-7.250,-0.2087,0.09270,0.08804,-0.0691,0.9551,0.0559
-7.000,-0.1917,0.08852,0.08384,-0.0742,0.9476,0.0560
-6.750,-0.1678,0.08359,0.07885,-0.0804,0.9432,0.0560
-6.500,-0.1633,0.07847,0.07373,-0.0753,0.9370,0.0442
-6.250,-0.1436,0.07454,0.06978,-0.0778,0.9318,0.0420
-6.000,-0.1255,0.07042,0.06562,-0.0830,0.9232,0.0422
-5.750,-0.0983,0.06553,0.06066,-0.0904,0.9168,0.0423
-5.500,-0.0772,0.06110,0.05615,-0.0955,0.9081,0.0413
-5.250,-0.0445,0.05539,0.05029,-0.1036,0.9023,0.0401
-5.000,-0.0155,0.04985,0.04456,-0.1102,0.8946,0.0394
-4.750,0.0204,0.04445,0.03888,-0.1171,0.8888,0.0405
-4.500,0.0651,0.03726,0.03117,-0.1258,0.8857,0.0422
-4.250,0.0916,0.03205,0.02535,-0.1287,0.8771,0.0426
-4.000,0.1298,0.02747,0.01991,-0.1325,0.8732,0.0438
-3.750,0.1622,0.02531,0.01728,-0.1340,0.8681,0.0466
-3.500,0.1898,0.02427,0.01606,-0.1342,0.8608,0.0494
-3.250,0.2259,0.02258,0.01394,-0.1358,0.8570,0.0524
-3.000,0.2524,0.02143,0.01242,-0.1354,0.8489,0.0555
-2.750,0.2853,0.02059,0.01154,-0.1364,0.8436,0.0611
-2.500,0.3145,0.01984,0.01054,-0.1365,0.8365,0.0679
-2.250,0.3449,0.01918,0.00989,-0.1369,0.8297,0.0765
-2.000,0.3754,0.01862,0.00927,-0.1372,0.8229,0.0880
-1.750,0.4046,0.01818,0.00877,-0.1373,0.8150,0.1023
-1.500,0.4343,0.01778,0.00834,-0.1375,0.8074,0.1192
-1.250,0.4643,0.01739,0.00793,-0.1377,0.7995,0.1384
-1.000,0.4925,0.01709,0.00764,-0.1377,0.7906,0.1590
-0.750,0.5240,0.01676,0.00731,-0.1381,0.7831,0.1859
-0.500,0.5501,0.01657,0.00716,-0.1377,0.7729,0.2135
-0.250,0.5817,0.01630,0.00691,-0.1382,0.7648,0.2509
0.000,0.6102,0.01609,0.00676,-0.1382,0.7550,0.2961
0.250,0.6383,0.01582,0.00665,-0.1382,0.7451,0.3638
0.500,0.6737,0.01438,0.00645,-0.1393,0.7373,1.0000
0.750,0.6997,0.01450,0.00639,-0.1387,0.7259,1.0000
1.000,0.7274,0.01460,0.00633,-0.1385,0.7157,1.0000
1.250,0.7570,0.01468,0.00623,-0.1387,0.7065,1.0000
1.500,0.7831,0.01483,0.00627,-0.1382,0.6956,1.0000
1.750,0.8099,0.01498,0.00632,-0.1379,0.6853,1.0000
2.000,0.8383,0.01512,0.00632,-0.1379,0.6761,1.0000
2.250,0.8641,0.01531,0.00646,-0.1374,0.6658,1.0000
2.500,0.8903,0.01551,0.00659,-0.1370,0.6560,1.0000
3.000,0.9430,0.01594,0.00691,-0.1363,0.6375,1.0000
3.250,0.9694,0.01617,0.00709,-0.1360,0.6289,1.0000
3.500,0.9953,0.01641,0.00730,-0.1356,0.6202,1.0000
3.750,1.0205,0.01668,0.00757,-0.1351,0.6115,1.0000
4.000,1.0471,0.01694,0.00781,-0.1349,0.6037,1.0000
4.250,1.0712,0.01725,0.00816,-0.1342,0.5952,1.0000
4.500,1.0981,0.01752,0.00841,-0.1340,0.5880,1.0000
4.750,1.1214,0.01786,0.00885,-0.1332,0.5796,1.0000
5.000,1.1482,0.01815,0.00913,-0.1330,0.5728,1.0000
5.250,1.1708,0.01852,0.00961,-0.1322,0.5645,1.0000
5.500,1.1974,0.01883,0.00993,-0.1319,0.5578,1.0000
5.750,1.2194,0.01923,0.01048,-0.1310,0.5495,1.0000
6.000,1.2456,0.01955,0.01085,-0.1306,0.5428,1.0000
6.250,1.2669,0.01997,0.01142,-0.1296,0.5344,1.0000
6.500,1.2929,0.02031,0.01180,-0.1292,0.5274,1.0000
6.750,1.3129,0.02075,0.01245,-0.1279,0.5183,1.0000
7.000,1.3345,0.02109,0.01290,-0.1267,0.5079,1.0000
7.250,1.3499,0.02133,0.01318,-0.1243,0.4887,1.0000
7.500,1.3622,0.02156,0.01338,-0.1212,0.4646,1.0000
7.750,1.3721,0.02191,0.01377,-0.1179,0.4393,1.0000
8.000,1.3818,0.02236,0.01428,-0.1147,0.4152,1.0000
8.250,1.3881,0.02289,0.01482,-0.1110,0.3860,1.0000
8.500,1.3900,0.02360,0.01543,-0.1066,0.3489,1.0000
8.750,1.3885,0.02466,0.01627,-0.1020,0.3006,1.0000
9.000,1.3808,0.02629,0.01753,-0.0970,0.2433,1.0000
9.250,1.3688,0.02850,0.01933,-0.0921,0.1831,1.0000
9.500,1.3573,0.03100,0.02148,-0.0878,0.1330,1.0000
9.750,1.3481,0.03353,0.02380,-0.0842,0.0985,1.0000
10.000,1.3421,0.03598,0.02614,-0.0812,0.0770,1.0000
10.250,1.3381,0.03840,0.02853,-0.0786,0.0643,1.0000
10.500,1.3355,0.04084,0.03102,-0.0763,0.0565,1.0000
10.750,1.3321,0.04346,0.03370,-0.0743,0.0513,1.0000
11.000,1.3293,0.04615,0.03649,-0.0726,0.0476,1.0000
11.250,1.3279,0.04881,0.03930,-0.0711,0.0443,1.0000
11.500,1.3252,0.05169,0.04228,-0.0699,0.0416,1.0000
