Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0009sm-il-100000-n5
Airfoil,n0009sm-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,33.4499
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n0009sm-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.7125,0.09267,0.08756,-0.0119,1.0000,0.0297
-11.250,-0.7440,0.07951,0.07448,-0.0205,1.0000,0.0288
-11.000,-0.7809,0.06808,0.06296,-0.0297,1.0000,0.0275
-10.750,-0.8254,0.05924,0.05387,-0.0344,1.0000,0.0259
-10.500,-0.8507,0.05479,0.04921,-0.0336,1.0000,0.0257
-10.250,-0.8652,0.05197,0.04621,-0.0310,1.0000,0.0263
-10.000,-0.8747,0.04890,0.04288,-0.0287,1.0000,0.0272
-9.750,-0.8815,0.04554,0.03916,-0.0263,1.0000,0.0283
-9.500,-0.8849,0.04194,0.03511,-0.0236,1.0000,0.0295
-9.250,-0.8832,0.03854,0.03117,-0.0210,1.0000,0.0310
-9.000,-0.8757,0.03585,0.02809,-0.0188,1.0000,0.0329
-8.750,-0.8615,0.03486,0.02708,-0.0174,1.0000,0.0355
-8.500,-0.8476,0.03329,0.02519,-0.0156,1.0000,0.0387
-8.250,-0.8326,0.03132,0.02277,-0.0137,1.0000,0.0418
-8.000,-0.8166,0.02976,0.02108,-0.0122,1.0000,0.0453
-7.750,-0.7986,0.02856,0.01975,-0.0109,1.0000,0.0486
-7.500,-0.7796,0.02721,0.01813,-0.0094,1.0000,0.0524
-7.250,-0.7603,0.02589,0.01658,-0.0080,1.0000,0.0564
-7.000,-0.7408,0.02473,0.01541,-0.0067,1.0000,0.0598
-6.750,-0.7206,0.02363,0.01418,-0.0054,1.0000,0.0633
-6.500,-0.6996,0.02278,0.01305,-0.0040,1.0000,0.0678
-6.250,-0.6809,0.02173,0.01208,-0.0026,1.0000,0.0727
-6.000,-0.6609,0.02089,0.01115,-0.0012,1.0000,0.0775
-5.750,-0.6414,0.02004,0.01022,0.0004,1.0000,0.0822
-5.500,-0.6224,0.01926,0.00945,0.0019,1.0000,0.0884
-5.250,-0.6028,0.01857,0.00875,0.0034,1.0000,0.0974
-5.000,-0.5831,0.01793,0.00804,0.0049,1.0000,0.1082
-4.750,-0.5637,0.01724,0.00740,0.0064,1.0000,0.1216
-4.500,-0.5446,0.01655,0.00683,0.0079,1.0000,0.1423
-4.250,-0.5255,0.01585,0.00634,0.0094,1.0000,0.1806
-4.000,-0.5068,0.01517,0.00592,0.0109,1.0000,0.2358
-3.750,-0.4878,0.01458,0.00556,0.0124,1.0000,0.2942
-3.500,-0.4689,0.01405,0.00530,0.0140,1.0000,0.3585
-3.250,-0.4500,0.01359,0.00509,0.0157,1.0000,0.4214
-3.000,-0.4309,0.01318,0.00493,0.0175,1.0000,0.4836
-2.750,-0.4117,0.01281,0.00482,0.0193,1.0000,0.5471
-2.500,-0.3920,0.01248,0.00475,0.0212,1.0000,0.6170
-2.250,-0.3704,0.01222,0.00477,0.0230,1.0000,0.6883
-2.000,-0.3453,0.01208,0.00484,0.0241,1.0000,0.7529
-1.750,-0.3157,0.01206,0.00494,0.0243,1.0000,0.8064
-1.500,-0.2796,0.01213,0.00504,0.0231,1.0000,0.8537
-1.250,-0.2360,0.01228,0.00518,0.0203,1.0000,0.8919
-1.000,-0.1912,0.01243,0.00530,0.0171,1.0000,0.9223
-0.750,-0.1454,0.01257,0.00537,0.0134,1.0000,0.9457
-0.500,-0.1009,0.01269,0.00546,0.0099,1.0000,0.9657
-0.250,-0.0562,0.01279,0.00553,0.0061,1.0000,0.9828
0.000,0.0000,0.01279,0.00552,0.0000,0.9912,0.9912
0.250,0.0560,0.01279,0.00553,-0.0061,0.9828,1.0000
0.500,0.1010,0.01269,0.00546,-0.0099,0.9656,1.0000
0.750,0.1454,0.01257,0.00537,-0.0134,0.9457,1.0000
1.000,0.1912,0.01243,0.00529,-0.0171,0.9222,1.0000
1.250,0.2360,0.01228,0.00518,-0.0203,0.8919,1.0000
1.500,0.2796,0.01213,0.00504,-0.0231,0.8536,1.0000
1.750,0.3156,0.01206,0.00494,-0.0243,0.8063,1.0000
2.000,0.3452,0.01208,0.00484,-0.0241,0.7528,1.0000
2.250,0.3703,0.01222,0.00477,-0.0229,0.6882,1.0000
2.500,0.3919,0.01248,0.00475,-0.0212,0.6171,1.0000
2.750,0.4115,0.01281,0.00481,-0.0193,0.5466,1.0000
3.000,0.4308,0.01318,0.00492,-0.0175,0.4835,1.0000
3.250,0.4499,0.01359,0.00508,-0.0157,0.4208,1.0000
3.500,0.4688,0.01405,0.00529,-0.0140,0.3584,1.0000
3.750,0.4877,0.01458,0.00556,-0.0124,0.2947,1.0000
4.000,0.5067,0.01517,0.00592,-0.0109,0.2354,1.0000
4.250,0.5254,0.01585,0.00633,-0.0094,0.1806,1.0000
4.500,0.5444,0.01655,0.00682,-0.0079,0.1422,1.0000
4.750,0.5636,0.01724,0.00739,-0.0064,0.1214,1.0000
5.000,0.5830,0.01793,0.00804,-0.0048,0.1081,1.0000
5.250,0.6028,0.01857,0.00874,-0.0034,0.0973,1.0000
5.500,0.6223,0.01926,0.00945,-0.0019,0.0884,1.0000
5.750,0.6413,0.02004,0.01022,-0.0003,0.0822,1.0000
6.000,0.6609,0.02089,0.01115,0.0012,0.0774,1.0000
6.250,0.6809,0.02174,0.01208,0.0027,0.0727,1.0000
6.500,0.6996,0.02279,0.01305,0.0041,0.0678,1.0000
6.750,0.7205,0.02363,0.01418,0.0054,0.0633,1.0000
7.000,0.7408,0.02473,0.01541,0.0067,0.0598,1.0000
7.250,0.7603,0.02590,0.01659,0.0080,0.0564,1.0000
7.500,0.7796,0.02722,0.01813,0.0094,0.0525,1.0000
7.750,0.7987,0.02857,0.01976,0.0109,0.0487,1.0000
8.000,0.8166,0.02973,0.02103,0.0122,0.0452,1.0000
8.250,0.8327,0.03132,0.02276,0.0137,0.0419,1.0000
8.500,0.8477,0.03329,0.02519,0.0156,0.0387,1.0000
8.750,0.8616,0.03483,0.02705,0.0173,0.0355,1.0000
9.000,0.8759,0.03580,0.02803,0.0187,0.0328,1.0000
9.250,0.8834,0.03854,0.03116,0.0209,0.0310,1.0000
9.500,0.8850,0.04198,0.03515,0.0236,0.0295,1.0000
9.750,0.8815,0.04556,0.03919,0.0262,0.0283,1.0000
10.000,0.8746,0.04899,0.04297,0.0287,0.0273,1.0000
10.250,0.8654,0.05203,0.04626,0.0310,0.0264,1.0000
10.500,0.8509,0.05484,0.04925,0.0335,0.0257,1.0000
10.750,0.8258,0.05927,0.05390,0.0343,0.0258,1.0000
11.000,0.7829,0.06785,0.06273,0.0297,0.0273,1.0000
11.250,0.7449,0.07951,0.07449,0.0203,0.0288,1.0000
11.500,0.7128,0.09289,0.08778,0.0116,0.0297,1.0000
