Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2410-il-50000-n5
Airfoil,naca2410-il
Reynolds number,50000
Ncrit,5
Mach,0
Max Cl/Cd,36.0834
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2410-il-50000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.5281,0.09780,0.09035,-0.0247,1.0000,0.0669
-9.500,-0.5327,0.09260,0.08522,-0.0275,1.0000,0.0666
-9.250,-0.5395,0.08706,0.07975,-0.0308,1.0000,0.0665
-9.000,-0.5500,0.08089,0.07366,-0.0352,1.0000,0.0664
-8.750,-0.5646,0.07404,0.06684,-0.0402,1.0000,0.0662
-8.500,-0.5783,0.06772,0.06048,-0.0435,1.0000,0.0663
-8.250,-0.5897,0.06196,0.05453,-0.0454,1.0000,0.0669
-8.000,-0.5969,0.05664,0.04892,-0.0463,1.0000,0.0679
-7.750,-0.5999,0.05161,0.04346,-0.0462,1.0000,0.0692
-7.500,-0.5976,0.04702,0.03831,-0.0456,1.0000,0.0703
-7.250,-0.5880,0.04363,0.03455,-0.0446,1.0000,0.0719
-7.000,-0.5725,0.04197,0.03285,-0.0436,1.0000,0.0753
-6.750,-0.5581,0.03956,0.03012,-0.0425,1.0000,0.0788
-6.500,-0.5426,0.03671,0.02675,-0.0414,1.0000,0.0814
-6.250,-0.5247,0.03417,0.02364,-0.0403,1.0000,0.0844
-6.000,-0.5058,0.03280,0.02230,-0.0393,1.0000,0.0887
-5.750,-0.4858,0.03123,0.02044,-0.0383,1.0000,0.0935
-5.500,-0.4641,0.02950,0.01829,-0.0372,1.0000,0.0973
-5.250,-0.4429,0.02812,0.01687,-0.0363,1.0000,0.1012
-5.000,-0.4214,0.02707,0.01570,-0.0353,1.0000,0.1083
-4.750,-0.3997,0.02603,0.01459,-0.0343,1.0000,0.1164
-4.500,-0.3773,0.02506,0.01344,-0.0333,1.0000,0.1254
-4.250,-0.3551,0.02414,0.01255,-0.0324,1.0000,0.1358
-4.000,-0.3325,0.02337,0.01176,-0.0316,1.0000,0.1532
-3.750,-0.3097,0.02263,0.01109,-0.0310,1.0000,0.1757
-3.500,-0.2874,0.02196,0.01051,-0.0304,1.0000,0.2070
-3.250,-0.2650,0.02136,0.01007,-0.0299,1.0000,0.2494
-3.000,-0.2428,0.02076,0.00971,-0.0293,1.0000,0.3017
-2.750,-0.2207,0.02017,0.00940,-0.0287,1.0000,0.3646
-2.500,-0.1990,0.01960,0.00921,-0.0279,1.0000,0.4437
-2.250,-0.1790,0.01905,0.00917,-0.0264,1.0000,0.5487
-2.000,-0.1620,0.01859,0.00925,-0.0236,1.0000,0.6772
-1.750,-0.1412,0.01832,0.00938,-0.0209,1.0000,0.8391
-1.500,-0.0892,0.01833,0.00923,-0.0260,0.9953,1.0000
-1.250,-0.0452,0.01857,0.00913,-0.0299,0.9850,1.0000
-1.000,-0.0023,0.01879,0.00909,-0.0336,0.9741,1.0000
-0.750,0.0392,0.01899,0.00906,-0.0369,0.9624,1.0000
-0.500,0.0792,0.01916,0.00906,-0.0398,0.9499,1.0000
-0.250,0.1181,0.01932,0.00908,-0.0424,0.9370,1.0000
0.000,0.1571,0.01946,0.00910,-0.0449,0.9241,1.0000
