Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0012h-sa-50000-n5
Airfoil,naca0012h-sa
Reynolds number,50000
Ncrit,5
Mach,0
Max Cl/Cd,22.8147
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0012h-sa-50000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.7121,0.09929,0.09067,-0.0065,1.0000,0.1167
-11.000,-0.7349,0.09025,0.08164,-0.0119,1.0000,0.1190
-10.750,-0.8299,0.07048,0.06172,-0.0258,1.0000,0.1193
-10.500,-0.8789,0.06313,0.05414,-0.0264,1.0000,0.1199
-10.250,-0.9061,0.05797,0.04866,-0.0252,1.0000,0.1216
-10.000,-0.9255,0.05318,0.04339,-0.0234,1.0000,0.1240
-9.750,-0.9236,0.05024,0.04021,-0.0219,1.0000,0.1265
-9.500,-0.9069,0.04901,0.03899,-0.0209,1.0000,0.1294
-9.250,-0.8968,0.04702,0.03681,-0.0195,1.0000,0.1331
-9.000,-0.8913,0.04430,0.03368,-0.0179,1.0000,0.1372
-8.750,-0.8787,0.04223,0.03139,-0.0166,1.0000,0.1409
-8.500,-0.8596,0.04115,0.03032,-0.0156,1.0000,0.1448
-8.250,-0.8443,0.03951,0.02844,-0.0143,1.0000,0.1498
-8.000,-0.8296,0.03759,0.02617,-0.0130,1.0000,0.1548
-7.750,-0.8086,0.03667,0.02533,-0.0120,1.0000,0.1592
-7.500,-0.7900,0.03541,0.02390,-0.0109,1.0000,0.1651
-7.250,-0.7712,0.03403,0.02230,-0.0097,1.0000,0.1709
-7.000,-0.7500,0.03316,0.02146,-0.0087,1.0000,0.1763
-6.750,-0.7304,0.03201,0.02008,-0.0076,1.0000,0.1837
-6.500,-0.7089,0.03111,0.01922,-0.0066,1.0000,0.1896
-6.250,-0.6878,0.03023,0.01825,-0.0055,1.0000,0.1971
-6.000,-0.6665,0.02934,0.01730,-0.0044,1.0000,0.2046
-5.750,-0.6448,0.02858,0.01653,-0.0034,1.0000,0.2124
-5.500,-0.6231,0.02779,0.01566,-0.0023,1.0000,0.2210
-5.250,-0.6014,0.02710,0.01498,-0.0012,1.0000,0.2300
-5.000,-0.5792,0.02639,0.01426,-0.0002,1.0000,0.2392
-4.750,-0.5571,0.02576,0.01358,0.0009,1.0000,0.2499
-4.500,-0.5348,0.02512,0.01303,0.0019,1.0000,0.2602
-4.250,-0.5123,0.02452,0.01241,0.0029,1.0000,0.2720
-4.000,-0.4898,0.02396,0.01184,0.0039,1.0000,0.2853
-3.750,-0.4672,0.02335,0.01134,0.0048,1.0000,0.2985
-3.500,-0.4445,0.02277,0.01086,0.0057,1.0000,0.3134
-3.250,-0.4224,0.02221,0.01043,0.0067,1.0000,0.3300
-3.000,-0.4008,0.02167,0.01006,0.0077,1.0000,0.3486
-2.750,-0.3804,0.02118,0.00976,0.0089,1.0000,0.3716
-2.500,-0.3610,0.02068,0.00952,0.0103,1.0000,0.3996
-2.250,-0.3422,0.02020,0.00936,0.0119,1.0000,0.4387
-2.000,-0.3241,0.01973,0.00930,0.0137,1.0000,0.4950
-1.750,-0.3065,0.01934,0.00938,0.0160,1.0000,0.5688
-1.500,-0.2882,0.01912,0.00958,0.0184,1.0000,0.6499
-1.250,-0.2678,0.01911,0.00987,0.0207,1.0000,0.7246
-1.000,-0.2434,0.01927,0.01023,0.0224,1.0000,0.7893
-0.750,-0.2140,0.01953,0.01059,0.0228,1.0000,0.8447
-0.500,-0.1603,0.01992,0.01101,0.0185,0.9920,0.8924
-0.250,-0.0822,0.02025,0.01131,0.0096,0.9722,0.9269
0.000,0.0000,0.02036,0.01139,0.0000,0.9506,0.9506
0.250,0.0822,0.02025,0.01131,-0.0096,0.9269,0.9722
0.500,0.1603,0.01992,0.01101,-0.0185,0.8925,0.9920
0.750,0.2139,0.01953,0.01059,-0.0228,0.8447,1.0000
