Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2408-il-50000-n5
Airfoil,naca2408-il
Reynolds number,50000
Ncrit,5
Mach,0
Max Cl/Cd,36.6732
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2408-il-50000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.5217,0.09473,0.08766,-0.0178,1.0000,0.0540
-8.500,-0.5231,0.09027,0.08328,-0.0204,1.0000,0.0537
-8.250,-0.5256,0.08569,0.07878,-0.0234,1.0000,0.0537
-8.000,-0.5262,0.08051,0.07364,-0.0278,1.0000,0.0537
-7.750,-0.5256,0.07499,0.06813,-0.0321,1.0000,0.0538
-7.500,-0.5240,0.06940,0.06249,-0.0359,1.0000,0.0540
-7.250,-0.5214,0.06382,0.05679,-0.0391,1.0000,0.0543
-7.000,-0.5171,0.05833,0.05109,-0.0415,1.0000,0.0546
-6.750,-0.5105,0.05301,0.04545,-0.0431,1.0000,0.0548
-6.500,-0.5007,0.04803,0.04006,-0.0440,1.0000,0.0554
-6.250,-0.4881,0.04336,0.03481,-0.0444,1.0000,0.0573
-6.000,-0.4728,0.03947,0.03035,-0.0442,1.0000,0.0604
-5.750,-0.4546,0.03713,0.02784,-0.0436,1.0000,0.0637
-5.500,-0.4347,0.03427,0.02448,-0.0430,1.0000,0.0666
-5.250,-0.4127,0.03177,0.02120,-0.0423,1.0000,0.0729
-5.000,-0.3916,0.02988,0.01928,-0.0416,1.0000,0.0775
-4.750,-0.3684,0.02801,0.01706,-0.0408,1.0000,0.0822
-4.500,-0.3456,0.02661,0.01544,-0.0400,1.0000,0.0904
-4.250,-0.3220,0.02528,0.01385,-0.0391,1.0000,0.0972
-4.000,-0.2979,0.02396,0.01235,-0.0382,1.0000,0.1032
-3.750,-0.2740,0.02290,0.01118,-0.0373,1.0000,0.1117
-3.500,-0.2500,0.02200,0.01022,-0.0367,1.0000,0.1258
-3.250,-0.2261,0.02117,0.00942,-0.0361,1.0000,0.1483
-3.000,-0.2019,0.02027,0.00859,-0.0356,1.0000,0.1798
-2.750,-0.1780,0.01941,0.00802,-0.0353,1.0000,0.2405
-2.500,-0.1549,0.01847,0.00761,-0.0350,1.0000,0.3467
-2.250,-0.1348,0.01736,0.00736,-0.0336,1.0000,0.5143
-2.000,-0.1199,0.01639,0.00733,-0.0294,1.0000,0.7577
-1.750,-0.0793,0.01607,0.00695,-0.0313,1.0000,1.0000
-1.500,-0.0579,0.01616,0.00673,-0.0306,1.0000,1.0000
-1.250,-0.0363,0.01628,0.00657,-0.0300,1.0000,1.0000
-1.000,-0.0147,0.01644,0.00651,-0.0294,1.0000,1.0000
-0.750,0.0068,0.01664,0.00651,-0.0288,1.0000,1.0000
-0.500,0.0283,0.01687,0.00656,-0.0284,1.0000,1.0000
-0.250,0.0604,0.01717,0.00670,-0.0300,0.9950,1.0000
0.000,0.1037,0.01747,0.00686,-0.0337,0.9828,1.0000
0.250,0.1460,0.01775,0.00702,-0.0372,0.9700,1.0000
0.500,0.1874,0.01801,0.00720,-0.0403,0.9566,1.0000
0.750,0.2282,0.01823,0.00739,-0.0432,0.9428,1.0000
1.000,0.2688,0.01842,0.00757,-0.0460,0.9287,1.0000
1.250,0.3092,0.01859,0.00775,-0.0486,0.9144,1.0000
1.500,0.3476,0.01872,0.00793,-0.0507,0.8993,1.0000
1.750,0.3845,0.01882,0.00809,-0.0523,0.8835,1.0000
2.000,0.4203,0.01889,0.00825,-0.0536,0.8673,1.0000
2.250,0.4552,0.01895,0.00839,-0.0546,0.8508,1.0000
2.500,0.4851,0.01906,0.00860,-0.0546,0.8310,1.0000
2.750,0.5165,0.01912,0.00879,-0.0547,0.8120,1.0000
3.000,0.5476,0.01917,0.00894,-0.0547,0.7928,1.0000
