Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n6409-il-500000-n5
Airfoil,n6409-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,118.584
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-n6409-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.1682,0.09359,0.09116,-0.0743,0.9740,0.0102
-9.250,-0.1603,0.08762,0.08519,-0.0794,0.9712,0.0108
-9.000,-0.1535,0.08337,0.08095,-0.0824,0.9644,0.0110
-8.750,-0.1337,0.08114,0.07871,-0.0858,0.9606,0.0113
-8.500,-0.1153,0.07742,0.07498,-0.0906,0.9558,0.0115
-8.250,-0.0970,0.07376,0.07129,-0.0955,0.9487,0.0119
-7.750,-0.1417,0.02118,0.01733,-0.1516,0.9047,0.0141
-7.500,-0.1187,0.01893,0.01474,-0.1526,0.8963,0.0147
-7.250,-0.0931,0.01814,0.01383,-0.1528,0.8883,0.0152
-7.000,-0.0678,0.01713,0.01262,-0.1530,0.8817,0.0157
-6.750,-0.0428,0.01604,0.01129,-0.1531,0.8746,0.0162
-6.500,-0.0171,0.01501,0.00999,-0.1531,0.8681,0.0168
-6.250,0.0084,0.01418,0.00893,-0.1530,0.8608,0.0173
-6.000,0.0351,0.01356,0.00810,-0.1529,0.8542,0.0179
-5.750,0.0606,0.01278,0.00713,-0.1527,0.8462,0.0186
-5.500,0.0870,0.01221,0.00644,-0.1525,0.8389,0.0192
-5.250,0.1134,0.01179,0.00591,-0.1523,0.8309,0.0199
-5.000,0.1401,0.01138,0.00539,-0.1521,0.8234,0.0205
-4.750,0.1666,0.01101,0.00491,-0.1518,0.8148,0.0213
-4.500,0.1932,0.01070,0.00448,-0.1516,0.8062,0.0221
-4.250,0.2199,0.01045,0.00411,-0.1513,0.7972,0.0229
-4.000,0.2462,0.01006,0.00365,-0.1510,0.7880,0.0241
-3.750,0.2728,0.00983,0.00334,-0.1507,0.7791,0.0253
-3.500,0.2992,0.00964,0.00306,-0.1503,0.7689,0.0266
-3.250,0.3258,0.00947,0.00281,-0.1500,0.7586,0.0283
-3.000,0.3521,0.00929,0.00257,-0.1496,0.7483,0.0309
-2.750,0.3784,0.00918,0.00239,-0.1492,0.7379,0.0348
-2.500,0.4048,0.00905,0.00224,-0.1488,0.7272,0.0403
-2.250,0.4310,0.00897,0.00210,-0.1484,0.7161,0.0468
-2.000,0.4570,0.00891,0.00200,-0.1480,0.7044,0.0544
-1.500,0.5090,0.00883,0.00185,-0.1472,0.6810,0.0726
